10114	2060	fr-FR	Madame d’Aulnoy	Le Nain Jaune	-	Nouvelles, contes	-	Copyright © 2015-01-26 Ilivri	-	ILIVRI	9782335063042	epub	Marie-Catherine Le Jumel de Barneville	2015-01-26
109287	12144	fr-FR	Jules Michelet	La Sorcière	-	Histoire	-	Copyright © 2014-09-09 Ilivri	-	ILIVRI	9782335000139	epub	Jules Michelet	2014-09-09
60300	6538	fr-FR	Denis Diderot	Le Fils naturel - ou les Epreuves de la Vertu	-	Romans	-	Copyright © 2014-09-09 Ilivri	-	ILIVRI	9782335000610	epub	Denis Diderot	2014-09-09
40846	6455	fr-FR	Ernest Michel	Le Tour du monde en 240 jours - L’Hindoustan	-	Géographie, tourisme	-	Copyright © 2014-10-31 Ilivri	-	ILIVRI	9782335046649	epub	Ernest Michel	2014-10-31
270834	18740	fr-FR	Marcel Proust	A la recherche du temps perdu - Tome IV - Sodome et Gomorrhe	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335007657	epub	Marcel Proust	2014-07-21
212041	14915	fr-FR	Émile Gaboriau	La Corde au cou	-	Policier, mystère	-	Copyright © 2014-11-28 Ilivri	-	ILIVRI	9782335046243	epub	Émile Gaboriau	2014-11-28
26485	3879	fr-FR	Pierre-Augustin Caron de Beaumarchais	L'Autre Tartuffe - La Mère coupable	-	Théâtre	-	Copyright © 2015-06-30 Ilivri	-	ILIVRI	id01884	epub	Pierre-Augustin Caron de Beaumarchais	2015-06-30
9109	1698	fr-FR	Molière	L’Amour médecin	-	Théâtre	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335015232	epub	Jean-Baptiste Poquelin	2014-07-21
33363	5821	fr-FR	Honoré de Balzac	L'Interdiction - Scènes de la vie parisienne	-	Nouvelles, contes	-	Copyright © 2015-03-05 Ilivri	-	ILIVRI	id02292	epub	Honoré de Balzac	2015-03-05
22942	3652	fr-FR	Denis Diderot	Pensées sur l'interprétation de la nature	-	Philosophie	-	Copyright © 2014-09-09 Ilivri	-	ILIVRI	9782335000290	epub	Denis Diderot	2014-09-09
